央广网·国家,#genre#
陕西都市广播,https://satellitepull.cnr.cn/live/wxsxxdsgb/playlist.m3u8
陕西新闻广播,https://satellitepull.cnr.cn/live/wxsxxxwgb/playlist.m3u8
陕西经济广播,https://satellitepull.cnr.cn/live/wxsxxjjgb/playlist.m3u8

央广网·甘肃,#genre#
甘肃新闻综合广播,https://satellitepull.cnr.cn/live/wxgsxwzhgb/playlist.m3u8
甘肃交通广播,https://satellitepull.cnr.cn/live/wxgsjtgb/playlist.m3u8
甘肃都市调频,https://satellitepull.cnr.cn/live/wxgsdstb/playlist.m3u8
甘肃黄河之声,https://satellitepull.cnr.cn/live/wxgshhzs/playlist.m3u8

央广网·青海,#genre#
青海交通音乐广播,https://satellitepull.cnr.cn/live/wx32qhjtyygb/playlist.m3u8
青海经济广播,https://satellitepull.cnr.cn/live/wx32qhjjgb/playlist.m3u8
青海新闻综合广播 青海之声,https://satellitepull.cnr.cn/live/wx32qhwxzhgb/playlist.m3u8
青海藏语广播,https://satellitepull.cnr.cn/live/wx32qhzygb/playlist.m3u8

央广网·宁夏,#genre#
宁夏经济广播,https://satellitepull.cnr.cn/live/wxnxjjgb/playlist.m3u8
宁夏都市广播,https://satellitepull.cnr.cn/live/wxnxdsgb/playlist.m3u8

央广网·新疆,#genre#
新疆新闻广播,https://satellitepull.cnr.cn/live/wxxjxwgb/playlist.m3u8
新疆交通广播,https://satellitepull.cnr.cn/live/wxxjjtgb/playlist.m3u8
新疆私家车广播,https://satellitepull.cnr.cn/live/wxxjsjcgb/playlist.m3u8
新疆维语综合广播,https://satellitepull.cnr.cn/live/wxxjwyzhgb/playlist.m3u8
新疆维吾尔语交通文艺广播,https://satellitepull.cnr.cn/live/wxxjwyjtwygb/playlist.m3u8
新疆蒙语广播,https://satellitepull.cnr.cn/live/wxxjmygb/playlist.m3u8
新疆哈语广播,https://satellitepull.cnr.cn/live/wxxjhygb/playlist.m3u8
新疆柯尔克孜语广播,https://satellitepull.cnr.cn/live/wxxjkygb/playlist.m3u8
新疆兵团综合广播,https://satellitepull.cnr.cn/live/wxbtzs/playlist.m3u8
新疆绿色广播,https://satellitepull.cnr.cn/live/wxxjlsgb/playlist.m3u8

综合广播,#genre#
湖南文艺广播,https://satellitepull.cnr.cn/live/wx32hunwygb/playlist.m3u8
上海故事广播,http://live.cooltv.top/tv/news1296.php?id=10
四川文艺广播,http://satellitepull.cnr.cn/live/wxscwygb/playlist.m3u8
山西文艺广播 ,http://radiolive.sxrtv.com/live/wenyi/playlist.m3u8
北京新闻广播,http://ls.qingting.fm/live/339.m3u8
北京文艺广播,http://ls.qingting.fm/live/333.m3u8
北京交通广播,http://ls.qingting.fm/live/336.m3u8
北京城市广播,https://brtv-radiolive.rbc.cn/alive/fm1073.m3u8
北京体育广播,https://brtv-radiolive.rbc.cn/alive/fm1025.m3u8
CRI轻松调频,http://sk.cri.cn/915.m3u8
CRI华语环球,http://sk.cri.cn/hyhq.m3u8
CRI环球资讯 ,http://sk.cri.cn/905.m3u8
CRI英语资讯,http://sk.cri.cn/am846.m3u8
CRI世界华声,http://sk.cri.cn/hxfh.m3u8
台中广播电台,http://211.20.119.101:8081/
CNR中国之声,http://ngcdn001.cnr.cn/live/zgzs/index.m3u8
CNR交通广播,http://ngcdn016.cnr.cn/live/gsgljtgb/index.m3u8
CNR经济之声,http://ngcdn002.cnr.cn/live/jjzs/index.m3u8
CNR文艺之声,http://ngcdn010.cnr.cn/live/wyzs/index.m3u8
CNR神州之声,http://ngcdn006.cnr.cn/live/szzs/index.m3u8
CNR阅读之声,http://ngcdn014.cnr.cn/live/ylgb/index.m3u8
CNR湾区之声,http://ngcdn007.cnr.cn/live/hxzs/index.m3u8
CNR老年之声,http://ngcdn011.cnr.cn/live/lnzs/index.m3u8
CNR乡村之声,http://ngcdn017.cnr.cn/live/xczs/index.m3u8
CNR台海之声,http://ngcdn005.cnr.cn/live/zhzs/index.m3u8
江苏故事广播,http://satellitepull.cnr.cn/live/wx32jsgsgb/playlist.m3u8
江苏文艺广播,http://satellitepull.cnr.cn/live/wx32jswygb/playlist.m3u8
河北文艺广播,http://satellitepull.cnr.cn/live/wxhebwygb/playlist.m3u8
襄阳交通广播 FM89.0 (Opt-2)[0*0],http://ls.qingting.fm/live/1308.m3u8
楚天音乐广播 FM105.8 (Opt-1)[0*0],http://ls.qingting.fm/live/1289.m3u8
楚天交通广播 FM92.7[0*0],http://ls.qingting.fm/live/1291.m3u8
襄阳交通广播 FM89.0 (Opt-1)[0*0],http://ls.qingting.fm/live/1307.m3u8
荆门交通音乐频率 FM99.3 (Opt-2)[0*0],http://ls.qingting.fm/live/60808.m3u8
重庆新闻广播 FM96.80*0][0*0],http://live.xmcdn.com/live/128/64.m3u8
北京房山经典音乐 FM96.90*0][0*0],http://live.xmcdn.com/live/963/64.m3u8
重庆交通广播 FM95.50*0][0*0],http://live.xmcdn.com/live/130/64.m3u8
重庆都市广播 FM93.80*0][0*0],http://live.xmcdn.com/live/132/64.m3u8
万州交通广播0*0][0*0],http://live.xmcdn.com/live/1679/64.m3u8
重庆音乐广播 FM88.10*0][0*0],http://live.xmcdn.com/live/131/64.m3u8
广州新闻电台 FM96.20*0][0*0],http://live.xmcdn.com/live/256/64.m3u8
北京房山经典音乐 FM96.90*0][0*0],http://ls.qingting.fm/live/68746.m3u8
